as_of,country_iso3,market,external_debt,macro,climate,composite
2024-08-31,LAO,30.46,60.87,64.11,58.11,53.39
2024-09-30,LAO,28.15,60.87,64.11,58.11,52.81
2024-10-31,LAO,16.27,60.87,64.11,58.11,49.84
2024-11-30,LAO,20.1,60.87,64.11,58.11,50.8
2024-12-31,LAO,20.86,60.87,64.11,58.11,50.98
2025-01-31,LAO,23.73,60.87,64.11,48.72,49.36
2025-02-28,LAO,20.82,60.87,64.11,48.72,48.63
2025-03-31,LAO,25.35,60.87,64.11,48.72,49.76
2025-04-30,LAO,39.99,60.87,64.11,48.72,53.42
2025-05-31,LAO,30.02,60.87,64.11,48.72,50.93
2025-06-30,LAO,21.33,60.87,64.11,48.72,48.76
2025-07-31,LAO,4.07,60.78,56.8,48.72,42.59
2025-08-31,LAO,10.35,60.78,56.8,48.72,44.16
2025-09-30,LAO,9.73,60.78,56.8,48.72,44.01
2025-10-31,LAO,16.92,60.78,56.8,48.72,45.8
2025-11-30,LAO,21.84,60.78,56.8,48.72,47.03
2025-12-31,LAO,22.74,60.78,56.8,48.72,47.26
2026-01-31,LAO,17.47,60.78,56.8,41.94,44.25
2026-02-28,LAO,18.69,60.78,56.8,41.94,44.55
2026-03-31,LAO,31.02,60.78,56.8,41.94,47.64
2026-04-30,LAO,18.06,60.78,56.8,41.94,44.39
2026-05-31,LAO,13.78,60.78,56.8,41.94,43.32
2026-06-30,LAO,9.8,60.78,56.8,41.94,42.33
